City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Isangel,VU,82.29,light rain,-19.55,169.2667,Tanna Lodge
240,Arraial Do Cabo,BR,77.45,clear sky,-22.9661,-42.0278,Pousada Porto Praia
241,Veraval,IN,81.93,clear sky,20.9,70.3667,Lords Inn Somnath
243,Luanda,AO,79.21,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
244,Tagusao,PH,84.54,overcast clouds,9.1924,117.8141,Green Villa beach resort
245,Rantepao,ID,84.72,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
246,Mazatlan,MX,65.91,clear sky,23.2167,-106.4167,Hotel La Siesta
247,Benguela,AO,77.32,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
249,Kismayo,SO,77.63,clear sky,-0.3582,42.5454,Agan-Hotel
250,Lima,PE,71.38,clear sky,-12.0432,-77.0282,Hotel Kamana
251,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
252,Pisco,PE,70.93,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
255,San Cristobal,VE,65.7,broken clouds,7.7669,-72.225,Pirineos
257,Shingu,JP,68.34,scattered clouds,33.7333,135.9833,Shingu UI Hotel
259,Pacifica,US,61.75,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
265,Chimbarongo,CL,67.08,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
271,Maragogi,BR,77.65,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
275,Katherine,AU,89.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
280,Hokitika,NZ,65.5,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
281,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
282,Leeton,AU,87.89,scattered clouds,-34.5667,146.4,Hydro Hotel
283,Seoul,KR,60.37,mist,37.5683,126.9778,롯데호텔 서울
285,Kalianget,ID,84.76,broken clouds,-7.05,113.9333,Pesanggrahan Garam
288,Pimentel,PE,72.72,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
290,Vilhena,BR,69.06,overcast clouds,-12.7406,-60.1458,Hotel Mirage
291,Olinda,BR,79.09,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
294,Da Lat,VN,74.01,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
295,Harper,LR,79.32,broken clouds,4.375,-7.7169,Screensaver
297,Lakatoro,VU,84.24,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
298,Mount Gambier,AU,71.51,clear sky,-37.8333,140.7667,The Commodore
300,Katsuura,JP,60.66,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
301,Sur,OM,79.05,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
302,Ewa Beach,US,79.09,clear sky,21.3156,-158.0072,Base Lodging
305,Hervey Bay,AU,82.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
306,Mitsamiouli,KM,82.4,overcast clouds,-11.3847,43.2844,Foyer ADM
311,Urambo,TZ,64.69,broken clouds,-5.0667,32.05,Fair Lodge
312,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
314,Whyalla,AU,80.33,clear sky,-33.0333,137.5833,Foreshore Motor Inn
315,Itacoatiara,BR,74.48,light rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
316,Malakal,SS,81.57,overcast clouds,9.5334,31.6605,Nile Palace Hotel
317,Byron Bay,AU,76.71,overcast clouds,-28.65,153.6167,Backpackers Inn
318,Kerema,PG,83.43,overcast clouds,-7.9631,145.7785,Frena Lodge
320,Alofi,NU,80.24,moderate rain,-19.0595,-169.9187,Taloa Heights
321,Kiama,AU,75.25,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
326,Omboue,GA,78.24,overcast clouds,-1.5746,9.2618,Hotel Olako
328,Codrington,AU,70.43,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
331,Kousseri,CM,74.68,scattered clouds,12.0769,15.0306,Le Pilotis
332,Grajau,BR,71.92,light rain,-5.8194,-46.1386,Hotel Confiança
333,Garowe,SO,64.27,overcast clouds,8.4054,48.4845,Curubo Hotel
334,Kutum,SD,60.17,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
335,Fukue,JP,63.73,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
340,Acarau,BR,76.32,overcast clouds,-2.8856,-40.12,castelo pizzaria
341,Viru,PE,75.65,broken clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
342,Los Banos,PH,89.8,broken clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
343,Atar,MR,67.66,clear sky,20.5169,-13.0499,Oumou Elghoura
347,Esmeralda,CU,76.68,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
350,Sarh,TD,79.65,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
351,Bambanglipuro,ID,81.95,light rain,-7.95,110.2833,Puri Brata
353,Geraldton,AU,81.01,few clouds,-28.7667,114.6,Broadwater Mariner Resort
355,Namibe,AO,72.72,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
356,Biltine,TD,73.44,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
357,Rawson,AR,64.53,clear sky,-43.3002,-65.1023,Hosteria Sampedro
358,Chicama,PE,75.06,broken clouds,-7.8447,-79.1469,Balihai Bungalows
360,Ughelli,NG,75.02,overcast clouds,5.4899,6.0074,Prestige Hotel
361,Uaua,BR,73.35,broken clouds,-9.8414,-39.4817,Hotel Uauá
364,Auki,SB,82.26,broken clouds,-8.7676,160.7034,Auki Motel
366,Ginda,IN,61.27,clear sky,30.6945,78.4932,Sunil Bisht
367,Samarai,PG,85.77,broken clouds,-10.6167,150.6667,Nuli Sapi
368,Bandundu,CD,71.17,light rain,-3.3167,17.3667,Coja Color
369,Manaus,BR,77.49,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
371,Caravelas,BR,75.87,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
376,Ballina,AU,76.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
379,Port Shepstone,ZA,72.19,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
386,Trairi,BR,75.27,overcast clouds,-3.2778,-39.2689,janelas do mar
388,Bathsheba,BB,77.49,few clouds,13.2167,-59.5167,Atlantis Hotel
389,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
390,Bandar-E Lengeh,IR,76.37,overcast clouds,26.5579,54.8807,کافی نت پارس
393,Inirida,CO,76.37,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
395,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
396,Bull Savanna,JM,73.51,few clouds,17.8868,-77.5902,Big Red's
397,Ugoofaaru,MV,82.56,clear sky,5.6667,73.0,Ungoofaaru Inn
398,Waingapu,ID,85.42,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
400,Matara,LK,80.58,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
401,Sakaraha,MG,71.26,clear sky,-22.9,44.5333,Le Relais
403,Koumac,NC,83.48,scattered clouds,-20.5667,164.2833,Le Monitel
405,Guilin,CN,72.73,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
410,Khuzdar,PK,67.68,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
411,Kunming,CN,72.37,few clouds,25.0389,102.7183,昆明佳华广场酒店
413,Kalmunai,LK,80.17,scattered clouds,7.4167,81.8167,VS Villa
415,Iranshahr,IR,75.42,overcast clouds,27.2025,60.6848,نیک سرشت
416,Taltal,CL,65.84,few clouds,-25.4,-70.4833,Residencial Karime
419,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
421,Laguna,US,64.54,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
424,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
425,Santa Maria,BR,60.55,broken clouds,-29.6842,-53.8069,Hotel Morotin
427,Exu,BR,72.97,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
429,Canico,PT,63.05,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
430,Nizwa,OM,73.74,few clouds,22.9333,57.5333,Orient Apartments
431,Tamale,GH,85.24,clear sky,9.4008,-0.8393,Tap Hotel
435,Amalapuram,IN,83.17,clear sky,16.5833,82.0167,swayamprabha service apartments
440,Bubaque,GW,75.56,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
442,Tawau,MY,83.53,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
445,Faanui,PF,81.73,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
446,Banepa,NP,61.12,mist,27.6298,85.5214,Dhulikhel Lodge Resort
448,Camabatela,AO,63.7,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
452,Luena,AO,62.04,overcast clouds,-11.7833,19.9167,Hotel Kandamba
453,Galle,LK,80.22,broken clouds,6.0367,80.217,Amangalla
458,Ijui,BR,60.46,scattered clouds,-28.3878,-53.9147,Hotel Vera Cruz
459,Rio Verde De Mato Grosso,BR,71.44,light rain,-18.9181,-54.8442,Quedas Palace Hotel
460,Te Anau,NZ,67.28,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
461,Mocuba,MZ,72.23,moderate rain,-16.8392,36.9856,Phama Lodge
464,Guerrero Negro,MX,62.37,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
467,Sabang,ID,82.89,broken clouds,5.8933,95.3214,Hotel Citra
469,Guiglo,CI,74.79,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
470,Binga,ZW,70.86,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
473,Buraydah,SA,61.79,overcast clouds,26.326,43.975,Mövenpick Qassim
479,Marsh Harbour,BS,75.74,clear sky,26.5412,-77.0636,Abaco Beach Resort
480,Jega,NG,80.11,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
481,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
485,Umm Lajj,SA,63.46,clear sky,25.0213,37.2685,Moon light Furnished Units
487,Kuah,MY,81.07,few clouds,6.3265,99.8432,Azio Hotel
488,Salalah,OM,72.61,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
493,Piacabucu,BR,77.76,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
494,Carutapera,BR,73.85,moderate rain,-1.195,-46.02,Lidera
495,Richards Bay,ZA,74.01,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
498,Akyab,MM,79.9,scattered clouds,20.15,92.9,Hotel Memory
500,Antalaha,MG,74.12,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
501,Aparecida Do Taboado,BR,72.64,heavy intensity rain,-20.0867,-51.0936,Aritana
504,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
506,Mackay,AU,79.68,broken clouds,-21.15,149.2,International Lodge Motel
507,Ariquemes,BR,72.93,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
511,Cabo San Lucas,MX,69.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
514,Anito,PH,84.42,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
516,Montepuez,MZ,66.87,overcast clouds,-13.1256,38.9997,PembaAparthotel
517,Christchurch,NZ,72.91,clear sky,-43.5333,172.6333,The George
519,Impfondo,CG,69.08,light rain,1.6381,18.0667,Auberge La Place de Jules
520,Madang,PG,86.74,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
521,Mkushi,ZM,60.82,broken clouds,-13.6202,29.3939,Mkushi Police Club
523,Kolokani,ML,76.41,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
525,Basoko,CD,69.44,light rain,1.2391,23.616,Jackyna Hotel
526,Wanxian,CN,78.19,few clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
528,Arlit,NE,69.62,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
532,Vung Tau,VN,82.09,overcast clouds,10.346,107.0843,Seaside Resort
533,Reconquista,AR,60.39,light rain,-29.15,-59.65,Grand Hotel
535,Buchanan,LR,78.85,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
537,Iralaya,HN,77.85,clear sky,15.0,-83.2333,Iglesia morava renovada
538,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
