City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Sarana,RU,56.4773,57.7259,-11.07,100,48,2.44,scattered clouds
323,Ancud,CL,-41.8697,-73.8203,53.55,93,0,2.8,clear sky
324,Fernie,CA,49.5,-115.0687,26.74,98,100,5.37,light snow
325,Syracuse,IT,37.0881,15.2792,49.37,66,100,6.76,overcast clouds
326,Omboue,GA,-1.5746,9.2618,78.24,90,100,4.34,overcast clouds
327,Ilukste,LV,55.9775,26.2966,28.51,67,100,7.36,overcast clouds
328,Codrington,AU,-38.2667,141.9667,70.43,39,0,9.82,clear sky
329,Peterhead,GB,57.5058,-1.7981,46.8,95,100,25.5,overcast clouds
330,Nanortalik,GL,60.1432,-45.2371,13.95,77,97,30.76,overcast clouds
331,Kousseri,CM,12.0769,15.0306,74.68,19,29,10.92,scattered clouds
332,Grajau,BR,-5.8194,-46.1386,71.92,97,98,2.44,light rain
333,Garowe,SO,8.4054,48.4845,64.27,96,100,6.98,overcast clouds
334,Kutum,SD,14.2,24.6667,60.17,23,100,6.87,overcast clouds
335,Fukue,JP,32.6881,128.8419,63.73,75,0,6.24,clear sky
336,Hofn,IS,64.2539,-15.2082,40.84,97,100,17.05,light rain
337,Thunder Bay,CA,48.4001,-89.3168,8.29,67,87,7.0,overcast clouds
338,Bulawayo,ZW,-20.15,28.5833,59.52,72,37,9.93,scattered clouds
339,Plaster Rock,CA,46.9065,-67.39,28.92,93,100,6.2,overcast clouds
340,Acarau,BR,-2.8856,-40.12,76.32,87,100,0.27,overcast clouds
341,Viru,PE,-8.4167,-78.75,75.65,71,73,3.22,broken clouds
342,Los Banos,PH,14.1667,121.1833,89.8,53,60,4.56,broken clouds
343,Atar,MR,20.5169,-13.0499,67.66,12,0,8.7,clear sky
344,Anadyr,RU,64.75,177.4833,7.52,77,0,5.64,clear sky
